Variant_B,1000000000,1,5.595677,3.141593
Variant_B,1000000000,1,5.557104,3.141593
Variant_B,1000000000,1,5.569250,3.141593
Variant_B,1000000000,2,2.768560,3.141593
Variant_B,1000000000,2,2.793667,3.141593
Variant_B,1000000000,2,2.785892,3.141593
Variant_B,1000000000,4,1.397886,3.141593
Variant_B,1000000000,4,1.403650,3.141593
Variant_B,1000000000,4,1.429250,3.141593
Variant_B,1000000000,8,0.791795,3.141593
Variant_B,1000000000,8,0.706788,3.141593
Variant_B,1000000000,8,0.775749,3.141593
Variant_B,1000000000,16,0.421964,3.141593
Variant_B,1000000000,16,0.531609,3.141593
Variant_B,1000000000,16,0.386926,3.141593
Variant_B,1000000000,32,0.325057,3.141593
Variant_B,1000000000,32,0.314024,3.141593
Variant_B,1000000000,32,0.311375,3.141593
Variant_B,1000000000,64,0.237732,3.141593
Variant_B,1000000000,64,0.233981,3.141593
Variant_B,1000000000,64,0.220120,3.141593
